Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title
"L Jing, Z Wang, J Ning, L Zha",73,2011,No,Composites Part B: Engineering,"L Jing, Z Wang, J Ning, L Zhao - Composites Part B: Engineering, 2011 - Elsevier","The deformation and failure modes of dynamically loaded sandwich beams made of aluminum skins with open-cell aluminum foam cores were investigated experimentally. The dynamic compressive stress–strain curves of core materials, open-cell aluminum foam, were",The dynamic response of sandwich beams with open-cell metal foam cores
"KC Leong, LW Ji",65,2006,No,International Journal of Heat and fluid flow,"KC Leong, LW Jin - International Journal of Heat and fluid flow, 2006 - Elsevier",An experimental study was performed to investigate the characteristics of oscillating flow through a channel filled with open-cell metal foam with a fully inter-connected pore structure. Detailed experimental data of oscillating flow pressure drops and velocities for a wide range,Characteristics of oscillating flow through a channel filled with open-cell metal foam
"WY Jang, S Kyriakides, AM Krayni",102,2010,[HTML] sciencedirect.com,International Journal of Solids and …,"WY Jang, S Kyriakides, AM Kraynik - International Journal of Solids and …, 2010 - Elsevier","Two families of finite element models of anisotropic, aluminum alloy, open-cell foams are developed and their predictions of elastic properties and compressive strength are evaluated by direct comparison to experimental results. In the first family of models, the",[HTML][HTML] On the compressive strength of open-cell metal foams with Kelvin and random cell structures
"X Xiao, P Zhang, M L",91,2014,No,International Journal of Thermal Sciences,"X Xiao, P Zhang, M Li - International Journal of Thermal Sciences, 2014 - Elsevier","The thermal conductivity of phase change material (PCM) significantly affects the thermal performance of latent heat thermal energy storage (LHTES) system, which is attractive for energy conservation and waste heat utilization. Metal foam can be applied to enhance the",Effective thermal conductivity of open-cell metal foams impregnated with pure paraffin for latent heat storage
"KP Dharmasena, HNG Wadle",78,2002,[PDF] virginia.edu,Journal of materials research,"KP Dharmasena, HNG Wadley - Journal of materials research, 2002 - cambridge.org","Cellular metal foams are of interest because of the ability to tailor their mechanical, thermal, acoustic, and electrical properties by varying the relative density and cell morphology. Here, a tetrakaidecahedral unit-cell approach is used to represent an open-cell aluminum foam ",Electrical conductivity of open-cell metal foams
"M Vesenjak, C Veyhl, T Fiedle",55,2012,No,Materials Science and Engineering: A,"M Vesenjak, C Veyhl, T Fiedler - Materials Science and Engineering: A, 2012 - Elsevier",This paper addresses numerical and experimental analysis of the m. pore® aluminium foam. Numerical models are based on computed tomography data in order to capture the complex material meso-structure. Uni-axial experimental tests were performed for quasi-static loading,Analysis of anisotropy and strain rate sensitivity of open-cell metal foam
"DT Queheillalt, Y Katsumura, HNG Wadle",96,2004,[PDF] semanticscholar.org,Scripta Materialia,"DT Queheillalt, Y Katsumura, HNG Wadley - Scripta Materialia, 2004 - Elsevier","… The powder coated carbon foam was transient liquid phase sintered, densifying the powder
coating resulting … were measured and found to be comparable to theoretical models for open cell,
stochastic foams … [1] HNG WadleyCellular metals and metal foaming technology. Verlag …",Synthesis of stochastic open cell Ni-based foams
"S Krishnan, SV Garimella",70,2008,[PDF] purdue.edu,Journal of …,"S Krishnan, SV Garimella… - Journal of …, 2008 - … .asmedigitalcollection.asme.org",Direct simulation of thermal transport in open-cell metal foams is conducted using different periodic unit-cell geometries. The periodic unit-cell structures are constructed by assuming the pore space to be spherical and subtracting the pore space from a unit cube of the metal,Simulation of thermal transport in open-cell metal foams: effect of periodic unit-cell structure
"M Wang, N Pa",221,2008,[PDF] psu.edu,International Journal of Heat and Mass Transfer,"M Wang, N Pan - International Journal of Heat and Mass Transfer, 2008 - Elsevier","… and burn rate enhancer for solid propellants [7], [8]. More recently, the metal foams have been …
evaluations of the effective thermal transport properties of such porous foam materials … proposed
for modeling and predicting the effective thermal conductivity of open-cell porous foam …",Modeling and prediction of the effective thermal conductivity of random open-cell porous foams
"C San Marchi, A Mortense",194,2001,[PDF] epfl.ch,Acta Materialia,"C San Marchi, A Mortensen - Acta Materialia, 2001 - Elsevier","… g cm −3 ). These foams feature cells of relatively uniform size and a cell diameter of … The replication
technique consists of three basic steps: preparation of an open-pore pattern, infiltration of the …
the desired metal, and subsequent removal of the pattern to produce a metal sponge …",Deformation of open-cell aluminum foam
