Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title
"X Badiche, S Forest, T Guibert, Y Bienvenu",201,2000,[PDF] mines-paristech.fr,Materials Science and …,"X Badiche, S Forest, T Guibert, Y Bienvenu… - Materials Science and …, 2000 - Elsevier","… There is a need for simple and reliable engineering constitutive equations for metal foams … to
a structure controlled by surface tension and interfacial effects during the foaming of the
polyurethane substrate and the explosion of the cell walls to get an open-cell foam structure …",Mechanical properties and non-homogeneous deformation of open-cell nickel foams: application of the mechanics of cellular solids and of porous materials
I Ghos,71,2009,No,International Journal of Heat and Mass Transfer,"I Ghosh - International Journal of Heat and Mass Transfer, 2009 - Elsevier","… [6] have presented a macroscopic lumped-parameter engineering treatment to determine the
temperature distribution in open-cell metal foams used in forced convective heat transfer
application. The analysis has developed closed form solution for a slice of foam being used as …",Heat transfer correlation for high-porosity open-cell foam
"C San Marchi, JF Despois, A Mortense",95,2004,[PDF] epfl.ch,Acta Materialia,"C San Marchi, JF Despois, A Mortensen - Acta Materialia, 2004 - Elsevier","… The replicated open-cell foams of this work differ in their general mechanical behavior from closed …
In particular, studies on closed-cell foams in the literature show that plastic compressive
deformation … i) the intrinsic work hardening caused by deformation of the metal making the …",Uniaxial deformation of open-cell aluminum foam: the role of internal damage
"TJ Lim, B Smith, DL McDowel",161,2002,No,Acta Materialia,"TJ Lim, B Smith, DL McDowell - Acta Materialia, 2002 - Elsevier","… It would appear from Fig. 4 that the plastic collapse stress of bulk hollow sphere metal
foams of this study is better approximated by the open-cell foam approximation. The same
is true for the effective unloading elastic stiffness shown in Fig …",Behavior of a random hollow sphere metal foam
"S Mahjoob, K Vafa",290,2008,[PDF] ucr.edu,International Journal of Heat and Mass Transfer,"S Mahjoob, K Vafai - International Journal of Heat and Mass Transfer, 2008 - Elsevier","… Due to the high thermal conductivity and structural strength of aluminum, the open-cell aluminum
foams have attracted the attention of researchers for heat exchanger design. The porosity of a
foam metal can be estimated using the weight of a given volume of the sample and …",A synthesis of fluid and thermal transport models for metal foam heat exchangers
"AH Brothers, R Scheunemann, JD DeFouw",120,2005,[PDF] northwestern.edu,Scripta Materialia,"AH Brothers, R Scheunemann, JD DeFouw… - Scripta Materialia, 2005 - Elsevier","… is due to buildup of corrosive fluoride in stagnant regions of acid inside the foam … Amorphous
metal foams show great potential as alternatives to monolithic BMG alloys, having lower density …
we have demonstrated for the first time successful processing of open-cell foams from a …",Processing and structure of open-celled amorphous metal foams
CY Zha,306,2012,[PDF] nsfc.gov.cn,International Journal of Heat and Mass Transfer,"CY Zhao - International Journal of Heat and Mass Transfer, 2012 - Elsevier","… Some open-celled metal foams such as the steel alloy foam (FeCrAlY) or Retimet® can also be
used in high-temperature ranges such as porous radiant burners in combustion engine [29],
[30] or flame arrestor [5]. More recently, based on previous studies on sound absorption …",Review on thermal transport in high porosity cellular metal foams with open cells
"LP Lefebvre, Y Thoma",148,"60,224, 2003",No,US Patent 6,"LP Lefebvre, Y Thomas - US Patent 6,660,224, 2003 - Google Patent","… processes consisting of plating a sponge-like resin and then burning the resin to obtain a metal
foam … Those processes provide low-density materials having open-cell porosity … patents, foaming
is carried out by blowing gases in the melt or adding chemical foaming agents such …",Method of making open cell material
"PR Onck, R Van Merkerk, A Raaijmakers",41,2005,[PDF] researchgate.net,Journal of materials …,"PR Onck, R Van Merkerk, A Raaijmakers… - Journal of materials …, 2005 - Springer","Two closed cell aluminium foams and one open cell nickel-chromium foam were subjected to microstructural characterization, in situ fracture tests and fractography. The failure process of the open cell foam was observed to be rather ductile, while that of the closed cell foams ",Fracture of open-and closed-cell metal foams
N Dukha,128,2006,No,Experiments in fluids,"N Dukhan - Experiments in fluids, 2006 - Springer","… Jin (2006) studied the characteristics of oscillating flow through a channel filled with open-cell
aluminum foam … (2000) observed that the experimental pressure drop data for metal foam in the …
To the knowledge of the current author, the 20-ppi foam having porosities less than 90 …",Correlations for the pressure drop for flow through metal foam
